projection_group,trial,order_pair,metric,probe,k,value
異なる射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.84128289
異なる射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.87258467
異なる射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.87735562
異なる射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.95083841
異なる射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.86678291
異なる射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.87732539
異なる射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.87735562
異なる射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.93237251
異なる射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.83377897
異なる射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.8075
異なる射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.97328904
異なる射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,0.88240489
異なる射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.77268519
異なる射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.88800076
異なる射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.89315615
異なる射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,1.0
異なる射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.70349584
異なる射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.71325634
異なる射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.91764706
異なる射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.88240489
異なる射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.8959596
異なる射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.90558069
異なる射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.86835366
異なる射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,1.0
異なる射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.79673913
異なる射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.96176471
異なる射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.865
異なる射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.90413895
異なる射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.88829853
異なる射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.94265734
異なる射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.85604084
異なる射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.90413895
