projection_group,trial,order,transition,probe,route_retention,new_edges,removed_edges
固定射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,0.84119048,3,4
固定射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,1.0,3,0
固定射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,0.96370588,9,1
固定射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,1.0,7,0
固定射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.91166667,1,2
固定射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.9719697,3,1
固定射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,0.94393939,0,2
固定射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,0.90744102,4,2
固定射影,3,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,0.91086207,6,2
固定射影,3,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,0.88339921,13,3
固定射影,3,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.97173913,11,1
固定射影,3,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,0.79857143,1,5
固定射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,1.0,9,0
固定射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,0.98030303,3,1
固定射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.9719697,5,1
固定射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,1.0,1,0
固定射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,0.97347403,3,1
固定射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,0.87411868,0,5
固定射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,0.95138889,3,1
固定射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,0.95543103,9,1
固定射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,0.92226614,7,2
固定射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,0.84453228,4,4
固定射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.84119048,3,4
固定射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,0.96732625,6,1
固定射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,0.96757519,6,1
固定射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,1.0,5,0
固定射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.95583333,2,1
固定射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.94393939,3,2
固定射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,0.95227273,7,2
固定射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,0.90197876,5,3
固定射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,0.91551459,1,2
異なる射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,0.96904762,6,1
異なる射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,1.0,11,0
異なる射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.9147619,9,2
異なる射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,0.88948864,3,3
異なる射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,1.0,2,0
異なる射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,1.0,11,0
異なる射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,1.0,7,0
異なる射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.91903409,4,2
異なる射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,0.90035714,3,3
異なる射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.9300986,8,3
異なる射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,0.97289199,3,1
異なる射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,1.0,8,0
異なる射影,1,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,0.92602627,3,2
異なる射影,1,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,1.0,14,0
異なる射影,1,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.96904762,11,1
異なる射影,1,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,0.95951705,2,1
異なる射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,1.0,5,0
異なる射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,1.0,9,0
異なる射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.97028226,5,1
異なる射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,0.92226614,3,2
異なる射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,0.93126362,2,2
異なる射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,1.0,8,0
異なる射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,1.0,2,0
異なる射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,1.0,9,0
異なる射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,0.96904762,6,1
異なる射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,0.95328947,18,1
異なる射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,1.0,11,0
異なる射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.97045455,13,1
異なる射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,1.0,4,0
異なる射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,0.9219697,8,3
異なる射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,0.941875,6,2
異なる射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.94548564,0,2
異なる射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.96912281,1,1
異なる射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,1.0,7,0
異なる射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,1.0,5,0
異なる射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,0.95083841,0,2
異なる射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,0.96904762,12,1
異なる射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,0.92160326,9,2
異なる射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.91832845,13,2
異なる射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,1.0,0,0
異なる射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,0.94230183,8,2
異なる射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,1.0,16,0
異なる射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,0.97155303,1,1
異なる射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.76428571,2,6
異なる射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,0.95818078,5,2
異なる射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.95827759,2,2
異なる射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,0.98030303,3,1
異なる射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,0.96176471,5,1
異なる射影,2,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,0.9147619,13,2
異なる射影,2,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,0.96080163,17,1
異なる射影,2,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.91832845,7,2
異なる射影,2,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,1.0,4,0
異なる射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,1.0,7,0
異なる射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,0.95144928,6,2
異なる射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.96592593,7,1
異なる射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,0.80025,1,6
異なる射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,0.91050725,4,4
異なる射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,1.0,1,0
異なる射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,0.98030303,2,1
異なる射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,0.92293103,4,2
異なる射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,0.87214286,11,3
異なる射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,0.84320652,7,4
異なる射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,0.87749267,8,3
異なる射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.96904762,6,1
異なる射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,1.0,13,0
異なる射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,0.93,11,2
異なる射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,0.9662037,7,1
異なる射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.82352941,0,5
異なる射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.95446429,3,2
異なる射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,0.97328904,12,1
異なる射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,0.92340909,1,3
異なる射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,0.92602627,2,2
異なる射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,1.0,14,0
異なる射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,1.0,5,0
異なる射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.92642857,6,2
異なる射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,0.91481481,3,2
異なる射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,0.91590909,3,3
異なる射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,1.0,8,0
異なる射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,0.926125,7,2
異なる射影,3,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.90744102,2,2
異なる射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,0.94393939,3,2
異なる射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.97155303,1,1
異なる射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,1.0,5,0
異なる射影,3,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,1.0,11,0
異なる射影,3,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,1.0,5,0
異なる射影,3,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,1.0,10,0
異なる射影,3,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.96904762,12,1
異なる射影,3,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,0.91481481,6,2
異なる射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,0.88693182,9,3
異なる射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,1.0,3,0
異なる射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.91068412,3,3
異なる射影,3,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,0.87855114,0,3
異なる射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,0.96935897,5,1
異なる射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,0.91465909,1,3
異なる射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,1.0,7,0
異なる射影,3,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,1.0,11,0
異なる射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,1.0,13,0
異なる射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,1.0,8,0
異なる射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,0.93809524,13,2
異なる射影,3,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.91481481,14,2
異なる射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,0.9128125,7,3
異なる射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,1.0,0,0
異なる射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,0.97047697,4,1
異なる射影,3,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.96912281,1,1
異なる射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.9739899,0,1
異なる射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,0.9664916,6,1
異なる射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,1.0,2,0
異なる射影,3,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,1.0,2,0
