group,trial,projection_seed,entity_type,from_checkpoint,to_checkpoint,from_role,to_role,count
固定射影,1,20260804,Edge,5,10,無関係文専用,無関係文専用,19
固定射影,1,20260804,Edge,5,10,類似文専用,類似文専用,11
固定射影,1,20260804,Edge,10,20,全共有幹線,全共有幹線,3
固定射影,1,20260804,Edge,10,20,学習・類似共有,学習・類似共有,9
固定射影,1,20260804,Edge,10,20,学習文専用,学習文専用,13
固定射影,1,20260804,Edge,10,20,未登場,学習・類似共有,2
固定射影,1,20260804,Edge,10,20,未登場,学習文専用,4
固定射影,1,20260804,Edge,10,20,未登場,類似文専用,2
固定射影,1,20260804,Edge,10,20,無関係文専用,無関係文専用,19
固定射影,1,20260804,Edge,10,20,類似文専用,学習・類似共有,1
固定射影,1,20260804,Edge,10,20,類似文専用,類似文専用,12
固定射影,1,20260804,Edge,20,50,全共有幹線,全共有幹線,3
固定射影,1,20260804,Edge,20,50,学習・類似共有,学習・類似共有,12
固定射影,1,20260804,Edge,20,50,学習文専用,学習・類似共有,2
固定射影,1,20260804,Edge,20,50,学習文専用,学習文専用,15
固定射影,1,20260804,Edge,20,50,未登場,学習文専用,4
固定射影,1,20260804,Edge,20,50,未登場,類似文専用,2
固定射影,1,20260804,Edge,20,50,無関係文専用,消失,2
固定射影,1,20260804,Edge,20,50,無関係文専用,無関係文専用,17
固定射影,1,20260804,Edge,20,50,類似文専用,消失,3
固定射影,1,20260804,Edge,20,50,類似文専用,類似文専用,11
固定射影,2,20260804,Node,0,1,全共有幹線,全共有幹線,3
固定射影,2,20260804,Node,0,1,学習・類似共有,学習・類似共有,11
固定射影,2,20260804,Node,0,1,学習文専用,学習文専用,14
固定射影,2,20260804,Node,0,1,未登場,学習文専用,1
固定射影,2,20260804,Node,0,1,無関係文専用,無関係文専用,27
固定射影,2,20260804,Node,0,1,類似文専用,学習・類似共有,1
固定射影,2,20260804,Node,0,1,類似文専用,消失,1
固定射影,2,20260804,Node,0,1,類似文専用,類似文専用,15
固定射影,2,20260804,Node,1,5,全共有幹線,全共有幹線,3
固定射影,2,20260804,Node,1,5,学習・類似共有,学習・類似共有,12
固定射影,2,20260804,Node,1,5,学習文専用,学習文専用,15
固定射影,2,20260804,Node,1,5,未登場,学習文専用,3
固定射影,2,20260804,Node,1,5,未登場,類似文専用,3
固定射影,2,20260804,Node,1,5,無関係文専用,無関係文専用,27
固定射影,2,20260804,Node,1,5,類似文専用,類似文専用,15
固定射影,2,20260804,Node,5,10,全共有幹線,全共有幹線,3
固定射影,2,20260804,Node,5,10,学習・類似共有,学習・類似共有,12
固定射影,2,20260804,Node,5,10,学習文専用,学習文専用,18
固定射影,2,20260804,Node,5,10,未登場,学習文専用,1
固定射影,2,20260804,Node,5,10,未登場,類似文専用,2
固定射影,2,20260804,Node,5,10,無関係文専用,無関係文専用,27
固定射影,2,20260804,Node,5,10,類似文専用,消失,2
固定射影,2,20260804,Node,5,10,類似文専用,類似文専用,16
固定射影,2,20260804,Node,10,20,全共有幹線,全共有幹線,3
固定射影,2,20260804,Node,10,20,学習・類似共有,学習・類似共有,12
固定射影,2,20260804,Node,10,20,学習文専用,学習文専用,19
固定射影,2,20260804,Node,10,20,未登場,学習・類似共有,1
固定射影,2,20260804,Node,10,20,未登場,学習文専用,4
固定射影,2,20260804,Node,10,20,未登場,類似文専用,2
固定射影,2,20260804,Node,10,20,無関係文専用,無関係文専用,27
固定射影,2,20260804,Node,10,20,類似文専用,学習・類似共有,2
固定射影,2,20260804,Node,10,20,類似文専用,類似文専用,16
固定射影,2,20260804,Node,20,50,全共有幹線,全共有幹線,3
固定射影,2,20260804,Node,20,50,学習・類似共有,学習・類似共有,15
固定射影,2,20260804,Node,20,50,学習文専用,学習・類似共有,2
固定射影,2,20260804,Node,20,50,学習文専用,学習文専用,21
固定射影,2,20260804,Node,20,50,未登場,学習文専用,4
固定射影,2,20260804,Node,20,50,未登場,類似文専用,2
固定射影,2,20260804,Node,20,50,無関係文専用,消失,1
固定射影,2,20260804,Node,20,50,無関係文専用,無関係文専用,26
固定射影,2,20260804,Node,20,50,類似文専用,類似文専用,18
固定射影,2,20260804,Edge,0,1,全共有幹線,全共有幹線,3
固定射影,2,20260804,Edge,0,1,学習・類似共有,学習・類似共有,8
固定射影,2,20260804,Edge,0,1,学習文専用,学習文専用,8
固定射影,2,20260804,Edge,0,1,未登場,学習文専用,1
固定射影,2,20260804,Edge,0,1,無関係文専用,無関係文専用,19
固定射影,2,20260804,Edge,0,1,類似文専用,学習・類似共有,1
固定射影,2,20260804,Edge,0,1,類似文専用,消失,1
固定射影,2,20260804,Edge,0,1,類似文専用,類似文専用,10
固定射影,2,20260804,Edge,1,5,全共有幹線,全共有幹線,3
固定射影,2,20260804,Edge,1,5,学習・類似共有,学習・類似共有,9
固定射影,2,20260804,Edge,1,5,学習文専用,学習文専用,9
固定射影,2,20260804,Edge,1,5,未登場,学習文専用,3
固定射影,2,20260804,Edge,1,5,未登場,類似文専用,3
固定射影,2,20260804,Edge,1,5,無関係文専用,無関係文専用,19
固定射影,2,20260804,Edge,1,5,類似文専用,類似文専用,10
固定射影,2,20260804,Edge,5,10,全共有幹線,全共有幹線,3
固定射影,2,20260804,Edge,5,10,学習・類似共有,学習・類似共有,9
固定射影,2,20260804,Edge,5,10,学習文専用,学習文専用,12
固定射影,2,20260804,Edge,5,10,未登場,学習文専用,1
固定射影,2,20260804,Edge,5,10,未登場,類似文専用,2
固定射影,2,20260804,Edge,5,10,無関係文専用,無関係文専用,19
固定射影,2,20260804,Edge,5,10,類似文専用,消失,2
固定射影,2,20260804,Edge,5,10,類似文専用,類似文専用,11
固定射影,2,20260804,Edge,10,20,全共有幹線,全共有幹線,3
固定射影,2,20260804,Edge,10,20,学習・類似共有,学習・類似共有,9
固定射影,2,20260804,Edge,10,20,学習文専用,学習文専用,13
固定射影,2,20260804,Edge,10,20,未登場,学習・類似共有,2
固定射影,2,20260804,Edge,10,20,未登場,学習文専用,4
固定射影,2,20260804,Edge,10,20,未登場,類似文専用,2
固定射影,2,20260804,Edge,10,20,無関係文専用,無関係文専用,19
固定射影,2,20260804,Edge,10,20,類似文専用,学習・類似共有,1
固定射影,2,20260804,Edge,10,20,類似文専用,類似文専用,12
固定射影,2,20260804,Edge,20,50,全共有幹線,全共有幹線,3
固定射影,2,20260804,Edge,20,50,学習・類似共有,学習・類似共有,12
固定射影,2,20260804,Edge,20,50,学習文専用,学習・類似共有,2
固定射影,2,20260804,Edge,20,50,学習文専用,学習文専用,15
固定射影,2,20260804,Edge,20,50,未登場,学習文専用,4
固定射影,2,20260804,Edge,20,50,未登場,類似文専用,2
固定射影,2,20260804,Edge,20,50,無関係文専用,消失,2
固定射影,2,20260804,Edge,20,50,無関係文専用,無関係文専用,17
固定射影,2,20260804,Edge,20,50,類似文専用,消失,1
固定射影,2,20260804,Edge,20,50,類似文専用,類似文専用,13
固定射影,3,20260804,Node,0,1,全共有幹線,全共有幹線,3
固定射影,3,20260804,Node,0,1,学習・類似共有,学習・類似共有,9
固定射影,3,20260804,Node,0,1,学習文専用,学習・類似共有,2
固定射影,3,20260804,Node,0,1,学習文専用,学習文専用,14
固定射影,3,20260804,Node,0,1,未登場,学習文専用,1
固定射影,3,20260804,Node,0,1,無関係文専用,無関係文専用,27
固定射影,3,20260804,Node,0,1,類似文専用,学習・類似共有,1
固定射影,3,20260804,Node,0,1,類似文専用,消失,3
固定射影,3,20260804,Node,0,1,類似文専用,類似文専用,15
固定射影,3,20260804,Node,1,5,全共有幹線,全共有幹線,3
固定射影,3,20260804,Node,1,5,学習・類似共有,学習・類似共有,12
固定射影,3,20260804,Node,1,5,学習文専用,学習文専用,15
固定射影,3,20260804,Node,1,5,未登場,学習文専用,2
固定射影,3,20260804,Node,1,5,未登場,類似文専用,1
固定射影,3,20260804,Node,1,5,無関係文専用,無関係文専用,27
固定射影,3,20260804,Node,1,5,類似文専用,類似文専用,15
固定射影,3,20260804,Node,5,10,全共有幹線,全共有幹線,3
固定射影,3,20260804,Node,5,10,学習・類似共有,学習・類似共有,12
固定射影,3,20260804,Node,5,10,学習文専用,学習文専用,17
固定射影,3,20260804,Node,5,10,未登場,学習文専用,2
固定射影,3,20260804,Node,5,10,未登場,類似文専用,2
固定射影,3,20260804,Node,5,10,無関係文専用,無関係文専用,27
固定射影,3,20260804,Node,5,10,類似文専用,類似文専用,16
固定射影,3,20260804,Node,10,20,全共有幹線,全共有幹線,3
固定射影,3,20260804,Node,10,20,学習・類似共有,学習・類似共有,12
固定射影,3,20260804,Node,10,20,学習文専用,学習・類似共有,1
固定射影,3,20260804,Node,10,20,学習文専用,学習文専用,18
固定射影,3,20260804,Node,10,20,未登場,学習・類似共有,2
固定射影,3,20260804,Node,10,20,未登場,学習文専用,3
固定射影,3,20260804,Node,10,20,無関係文専用,無関係文専用,27
固定射影,3,20260804,Node,10,20,類似文専用,学習・類似共有,2
固定射影,3,20260804,Node,10,20,類似文専用,類似文専用,16
固定射影,3,20260804,Node,20,50,全共有幹線,全共有幹線,3
固定射影,3,20260804,Node,20,50,学習・類似共有,学習・類似共有,17
固定射影,3,20260804,Node,20,50,学習文専用,学習文専用,21
固定射影,3,20260804,Node,20,50,未登場,学習文専用,4
固定射影,3,20260804,Node,20,50,未登場,類似文専用,4
固定射影,3,20260804,Node,20,50,無関係文専用,消失,1
固定射影,3,20260804,Node,20,50,無関係文専用,無関係文専用,26
固定射影,3,20260804,Node,20,50,類似文専用,類似文専用,16
固定射影,3,20260804,Edge,0,1,全共有幹線,全共有幹線,3
固定射影,3,20260804,Edge,0,1,学習・類似共有,学習・類似共有,6
固定射影,3,20260804,Edge,0,1,学習文専用,学習・類似共有,2
固定射影,3,20260804,Edge,0,1,学習文専用,学習文専用,8
固定射影,3,20260804,Edge,0,1,未登場,学習文専用,1
固定射影,3,20260804,Edge,0,1,無関係文専用,無関係文専用,19
固定射影,3,20260804,Edge,0,1,類似文専用,学習・類似共有,1
固定射影,3,20260804,Edge,0,1,類似文専用,消失,3
固定射影,3,20260804,Edge,0,1,類似文専用,類似文専用,10
固定射影,3,20260804,Edge,1,5,全共有幹線,全共有幹線,3
固定射影,3,20260804,Edge,1,5,学習・類似共有,学習・類似共有,9
固定射影,3,20260804,Edge,1,5,学習文専用,学習文専用,9
固定射影,3,20260804,Edge,1,5,未登場,学習文専用,2
固定射影,3,20260804,Edge,1,5,未登場,類似文専用,1
固定射影,3,20260804,Edge,1,5,無関係文専用,無関係文専用,19
固定射影,3,20260804,Edge,1,5,類似文専用,類似文専用,10
固定射影,3,20260804,Edge,5,10,全共有幹線,全共有幹線,3
固定射影,3,20260804,Edge,5,10,学習・類似共有,学習・類似共有,9
固定射影,3,20260804,Edge,5,10,学習文専用,学習文専用,11
固定射影,3,20260804,Edge,5,10,未登場,学習文専用,2
固定射影,3,20260804,Edge,5,10,未登場,類似文専用,2
固定射影,3,20260804,Edge,5,10,無関係文専用,無関係文専用,19
固定射影,3,20260804,Edge,5,10,類似文専用,類似文専用,11
固定射影,3,20260804,Edge,10,20,全共有幹線,全共有幹線,3
固定射影,3,20260804,Edge,10,20,学習・類似共有,学習・類似共有,9
固定射影,3,20260804,Edge,10,20,学習文専用,学習・類似共有,1
固定射影,3,20260804,Edge,10,20,学習文専用,学習文専用,12
固定射影,3,20260804,Edge,10,20,未登場,学習・類似共有,3
固定射影,3,20260804,Edge,10,20,未登場,学習文専用,3
固定射影,3,20260804,Edge,10,20,無関係文専用,無関係文専用,19
固定射影,3,20260804,Edge,10,20,類似文専用,学習・類似共有,1
固定射影,3,20260804,Edge,10,20,類似文専用,類似文専用,12
固定射影,3,20260804,Edge,20,50,全共有幹線,全共有幹線,3
固定射影,3,20260804,Edge,20,50,学習・類似共有,学習・類似共有,14
固定射影,3,20260804,Edge,20,50,学習文専用,学習文専用,15
固定射影,3,20260804,Edge,20,50,未登場,学習文専用,4
固定射影,3,20260804,Edge,20,50,未登場,類似文専用,4
固定射影,3,20260804,Edge,20,50,無関係文専用,消失,2
固定射影,3,20260804,Edge,20,50,無関係文専用,無関係文専用,17
固定射影,3,20260804,Edge,20,50,類似文専用,消失,1
固定射影,3,20260804,Edge,20,50,類似文専用,類似文専用,11
固定射影,4,20260804,Node,0,1,全共有幹線,全共有幹線,3
固定射影,4,20260804,Node,0,1,学習・類似共有,学習・類似共有,9
固定射影,4,20260804,Node,0,1,学習文専用,学習文専用,16
固定射影,4,20260804,Node,0,1,未登場,学習文専用,1
固定射影,4,20260804,Node,0,1,無関係文専用,無関係文専用,27
固定射影,4,20260804,Node,0,1,類似文専用,学習・類似共有,1
固定射影,4,20260804,Node,0,1,類似文専用,消失,1
固定射影,4,20260804,Node,0,1,類似文専用,類似文専用,17
固定射影,4,20260804,Node,1,5,全共有幹線,全共有幹線,3
固定射影,4,20260804,Node,1,5,学習・類似共有,学習・類似共有,10
固定射影,4,20260804,Node,1,5,学習文専用,学習・類似共有,2
固定射影,4,20260804,Node,1,5,学習文専用,学習文専用,15
固定射影,4,20260804,Node,1,5,未登場,学習文専用,2
固定射影,4,20260804,Node,1,5,未登場,類似文専用,1
固定射影,4,20260804,Node,1,5,無関係文専用,無関係文専用,27
固定射影,4,20260804,Node,1,5,類似文専用,消失,2
固定射影,4,20260804,Node,1,5,類似文専用,類似文専用,15
固定射影,4,20260804,Node,5,10,全共有幹線,全共有幹線,3
固定射影,4,20260804,Node,5,10,学習・類似共有,学習・類似共有,12
固定射影,4,20260804,Node,5,10,学習文専用,学習文専用,17
固定射影,4,20260804,Node,5,10,未登場,学習文専用,2
固定射影,4,20260804,Node,5,10,未登場,類似文専用,2
固定射影,4,20260804,Node,5,10,無関係文専用,無関係文専用,27
固定射影,4,20260804,Node,5,10,類似文専用,類似文専用,16
固定射影,4,20260804,Node,10,20,全共有幹線,全共有幹線,3
固定射影,4,20260804,Node,10,20,学習・類似共有,学習・類似共有,12
固定射影,4,20260804,Node,10,20,学習文専用,学習・類似共有,1
固定射影,4,20260804,Node,10,20,学習文専用,学習文専用,18
固定射影,4,20260804,Node,10,20,未登場,学習・類似共有,2
固定射影,4,20260804,Node,10,20,未登場,学習文専用,3
固定射影,4,20260804,Node,10,20,無関係文専用,無関係文専用,27
固定射影,4,20260804,Node,10,20,類似文専用,学習・類似共有,2
固定射影,4,20260804,Node,10,20,類似文専用,類似文専用,16
固定射影,4,20260804,Node,20,50,全共有幹線,全共有幹線,3
固定射影,4,20260804,Node,20,50,学習・類似共有,学習・類似共有,17
固定射影,4,20260804,Node,20,50,学習文専用,学習文専用,21
固定射影,4,20260804,Node,20,50,未登場,学習文専用,4
固定射影,4,20260804,Node,20,50,未登場,類似文専用,4
固定射影,4,20260804,Node,20,50,無関係文専用,消失,1
固定射影,4,20260804,Node,20,50,無関係文専用,無関係文専用,26
固定射影,4,20260804,Node,20,50,類似文専用,類似文専用,16
固定射影,4,20260804,Edge,0,1,全共有幹線,全共有幹線,3
固定射影,4,20260804,Edge,0,1,学習・類似共有,学習・類似共有,6
固定射影,4,20260804,Edge,0,1,学習文専用,学習文専用,10
固定射影,4,20260804,Edge,0,1,未登場,学習文専用,1
固定射影,4,20260804,Edge,0,1,無関係文専用,無関係文専用,19
固定射影,4,20260804,Edge,0,1,類似文専用,学習・類似共有,1
固定射影,4,20260804,Edge,0,1,類似文専用,消失,1
固定射影,4,20260804,Edge,0,1,類似文専用,類似文専用,12
固定射影,4,20260804,Edge,1,5,全共有幹線,全共有幹線,3
固定射影,4,20260804,Edge,1,5,学習・類似共有,学習・類似共有,7
固定射影,4,20260804,Edge,1,5,学習文専用,学習・類似共有,2
固定射影,4,20260804,Edge,1,5,学習文専用,学習文専用,9
固定射影,4,20260804,Edge,1,5,未登場,学習文専用,2
固定射影,4,20260804,Edge,1,5,未登場,類似文専用,1
固定射影,4,20260804,Edge,1,5,無関係文専用,無関係文専用,19
固定射影,4,20260804,Edge,1,5,類似文専用,消失,2
固定射影,4,20260804,Edge,1,5,類似文専用,類似文専用,10
固定射影,4,20260804,Edge,5,10,全共有幹線,全共有幹線,3
固定射影,4,20260804,Edge,5,10,学習・類似共有,学習・類似共有,9
固定射影,4,20260804,Edge,5,10,学習文専用,学習文専用,11
固定射影,4,20260804,Edge,5,10,未登場,学習文専用,2
固定射影,4,20260804,Edge,5,10,未登場,類似文専用,2
固定射影,4,20260804,Edge,5,10,無関係文専用,無関係文専用,19
固定射影,4,20260804,Edge,5,10,類似文専用,類似文専用,11
固定射影,4,20260804,Edge,10,20,全共有幹線,全共有幹線,3
固定射影,4,20260804,Edge,10,20,学習・類似共有,学習・類似共有,9
固定射影,4,20260804,Edge,10,20,学習文専用,学習・類似共有,1
固定射影,4,20260804,Edge,10,20,学習文専用,学習文専用,12
固定射影,4,20260804,Edge,10,20,未登場,学習・類似共有,3
固定射影,4,20260804,Edge,10,20,未登場,学習文専用,3
固定射影,4,20260804,Edge,10,20,無関係文専用,無関係文専用,19
固定射影,4,20260804,Edge,10,20,類似文専用,学習・類似共有,1
固定射影,4,20260804,Edge,10,20,類似文専用,類似文専用,12
固定射影,4,20260804,Edge,20,50,全共有幹線,全共有幹線,3
固定射影,4,20260804,Edge,20,50,学習・類似共有,学習・類似共有,14
固定射影,4,20260804,Edge,20,50,学習文専用,学習文専用,15
固定射影,4,20260804,Edge,20,50,未登場,学習文専用,4
固定射影,4,20260804,Edge,20,50,未登場,類似文専用,4
固定射影,4,20260804,Edge,20,50,無関係文専用,消失,2
固定射影,4,20260804,Edge,20,50,無関係文専用,無関係文専用,17
固定射影,4,20260804,Edge,20,50,類似文専用,消失,1
固定射影,4,20260804,Edge,20,50,類似文専用,類似文専用,11
固定射影,5,20260804,Node,0,1,全共有幹線,全共有幹線,3
固定射影,5,20260804,Node,0,1,学習・類似共有,学習・類似共有,11
固定射影,5,20260804,Node,0,1,学習文専用,学習文専用,14
固定射影,5,20260804,Node,0,1,未登場,学習文専用,1
固定射影,5,20260804,Node,0,1,無関係文専用,無関係文専用,27
固定射影,5,20260804,Node,0,1,類似文専用,学習・類似共有,1
固定射影,5,20260804,Node,0,1,類似文専用,消失,1
固定射影,5,20260804,Node,0,1,類似文専用,類似文専用,15
固定射影,5,20260804,Node,1,5,全共有幹線,全共有幹線,3
固定射影,5,20260804,Node,1,5,学習・類似共有,学習・類似共有,12
固定射影,5,20260804,Node,1,5,学習文専用,学習文専用,15
固定射影,5,20260804,Node,1,5,未登場,学習文専用,2
固定射影,5,20260804,Node,1,5,未登場,類似文専用,1
固定射影,5,20260804,Node,1,5,無関係文専用,無関係文専用,27
固定射影,5,20260804,Node,1,5,類似文専用,類似文専用,15
固定射影,5,20260804,Node,5,10,全共有幹線,全共有幹線,3
固定射影,5,20260804,Node,5,10,学習・類似共有,学習・類似共有,12
固定射影,5,20260804,Node,5,10,学習文専用,学習文専用,17
固定射影,5,20260804,Node,5,10,未登場,学習文専用,2
固定射影,5,20260804,Node,5,10,未登場,類似文専用,2
固定射影,5,20260804,Node,5,10,無関係文専用,無関係文専用,27
固定射影,5,20260804,Node,5,10,類似文専用,類似文専用,16
固定射影,5,20260804,Node,10,20,全共有幹線,全共有幹線,3
固定射影,5,20260804,Node,10,20,学習・類似共有,学習・類似共有,12
固定射影,5,20260804,Node,10,20,学習文専用,学習・類似共有,1
固定射影,5,20260804,Node,10,20,学習文専用,学習文専用,18
固定射影,5,20260804,Node,10,20,未登場,学習・類似共有,2
固定射影,5,20260804,Node,10,20,未登場,学習文専用,3
固定射影,5,20260804,Node,10,20,無関係文専用,無関係文専用,27
固定射影,5,20260804,Node,10,20,類似文専用,学習・類似共有,2
固定射影,5,20260804,Node,10,20,類似文専用,類似文専用,16
固定射影,5,20260804,Node,20,50,全共有幹線,全共有幹線,3
固定射影,5,20260804,Node,20,50,学習・類似共有,学習・類似共有,17
固定射影,5,20260804,Node,20,50,学習文専用,学習文専用,21
固定射影,5,20260804,Node,20,50,未登場,学習文専用,4
固定射影,5,20260804,Node,20,50,未登場,類似文専用,4
固定射影,5,20260804,Node,20,50,無関係文専用,消失,1
固定射影,5,20260804,Node,20,50,無関係文専用,無関係文専用,26
固定射影,5,20260804,Node,20,50,類似文専用,類似文専用,16
固定射影,5,20260804,Edge,0,1,全共有幹線,全共有幹線,3
固定射影,5,20260804,Edge,0,1,学習・類似共有,学習・類似共有,8
固定射影,5,20260804,Edge,0,1,学習文専用,学習文専用,8
固定射影,5,20260804,Edge,0,1,未登場,学習文専用,1
固定射影,5,20260804,Edge,0,1,無関係文専用,無関係文専用,19
固定射影,5,20260804,Edge,0,1,類似文専用,学習・類似共有,1
固定射影,5,20260804,Edge,0,1,類似文専用,消失,1
固定射影,5,20260804,Edge,0,1,類似文専用,類似文専用,10
固定射影,5,20260804,Edge,1,5,全共有幹線,全共有幹線,3
固定射影,5,20260804,Edge,1,5,学習・類似共有,学習・類似共有,9
固定射影,5,20260804,Edge,1,5,学習文専用,学習文専用,9
固定射影,5,20260804,Edge,1,5,未登場,学習文専用,2
固定射影,5,20260804,Edge,1,5,未登場,類似文専用,1
固定射影,5,20260804,Edge,1,5,無関係文専用,無関係文専用,19
固定射影,5,20260804,Edge,1,5,類似文専用,類似文専用,10
固定射影,5,20260804,Edge,5,10,全共有幹線,全共有幹線,3
固定射影,5,20260804,Edge,5,10,学習・類似共有,学習・類似共有,9
固定射影,5,20260804,Edge,5,10,学習文専用,学習文専用,11
固定射影,5,20260804,Edge,5,10,未登場,学習文専用,2
固定射影,5,20260804,Edge,5,10,未登場,類似文専用,2
固定射影,5,20260804,Edge,5,10,無関係文専用,無関係文専用,19
固定射影,5,20260804,Edge,5,10,類似文専用,類似文専用,11
固定射影,5,20260804,Edge,10,20,全共有幹線,全共有幹線,3
固定射影,5,20260804,Edge,10,20,学習・類似共有,学習・類似共有,9
固定射影,5,20260804,Edge,10,20,学習文専用,学習・類似共有,1
固定射影,5,20260804,Edge,10,20,学習文専用,学習文専用,12
固定射影,5,20260804,Edge,10,20,未登場,学習・類似共有,3
固定射影,5,20260804,Edge,10,20,未登場,学習文専用,3
固定射影,5,20260804,Edge,10,20,無関係文専用,無関係文専用,19
固定射影,5,20260804,Edge,10,20,類似文専用,学習・類似共有,1
固定射影,5,20260804,Edge,10,20,類似文専用,類似文専用,12
固定射影,5,20260804,Edge,20,50,全共有幹線,全共有幹線,3
固定射影,5,20260804,Edge,20,50,学習・類似共有,学習・類似共有,14
固定射影,5,20260804,Edge,20,50,学習文専用,学習文専用,15
固定射影,5,20260804,Edge,20,50,未登場,学習文専用,4
固定射影,5,20260804,Edge,20,50,未登場,類似文専用,4
固定射影,5,20260804,Edge,20,50,無関係文専用,消失,2
固定射影,5,20260804,Edge,20,50,無関係文専用,無関係文専用,17
固定射影,5,20260804,Edge,20,50,類似文専用,消失,1
固定射影,5,20260804,Edge,20,50,類似文専用,類似文専用,11
異なる射影,1,20261813,Node,0,1,全共有幹線,全共有幹線,1
異なる射影,1,20261813,Node,0,1,学習・無関係共有,学習・無関係共有,5
異なる射影,1,20261813,Node,0,1,学習・類似共有,学習・類似共有,7
異なる射影,1,20261813,Node,0,1,学習文専用,学習文専用,15
異なる射影,1,20261813,Node,0,1,無関係文専用,消失,1
異なる射影,1,20261813,Node,0,1,無関係文専用,無関係文専用,22
異なる射影,1,20261813,Node,0,1,類似・無関係共有,類似・無関係共有,1
異なる射影,1,20261813,Node,0,1,類似文専用,類似文専用,20
異なる射影,1,20261813,Node,1,5,全共有幹線,全共有幹線,1
異なる射影,1,20261813,Node,1,5,学習・無関係共有,学習・無関係共有,5
異なる射影,1,20261813,Node,1,5,学習・類似共有,学習・類似共有,7
異なる射影,1,20261813,Node,1,5,学習文専用,学習・類似共有,2
